T;Tr_ref
11.12.2009 00:00;15
11.12.2009 00:05;15
11.12.2009 00:10;15
11.12.2009 00:15;15
11.12.2009 00:20;15
11.12.2009 00:25;15
11.12.2009 00:30;15
11.12.2009 00:35;15
11.12.2009 00:40;15
11.12.2009 00:45;15
11.12.2009 00:50;15
11.12.2009 00:55;15
11.12.2009 01:00;15
11.12.2009 01:05;15
11.12.2009 01:10;15
11.12.2009 01:15;15
11.12.2009 01:20;15
11.12.2009 01:25;15
11.12.2009 01:30;15
11.12.2009 01:35;15
11.12.2009 01:40;15
11.12.2009 01:45;15
11.12.2009 01:50;15
11.12.2009 01:55;15
11.12.2009 02:00;15
11.12.2009 02:05;15
11.12.2009 02:10;15
11.12.2009 02:15;15
11.12.2009 02:20;15
11.12.2009 02:25;15
11.12.2009 02:30;15
11.12.2009 02:35;15
11.12.2009 02:40;15
11.12.2009 02:45;15
11.12.2009 02:50;15
11.12.2009 02:55;15
11.12.2009 03:00;15
11.12.2009 03:05;15
11.12.2009 03:10;15
11.12.2009 03:15;15
11.12.2009 03:20;15
11.12.2009 03:25;15
11.12.2009 03:30;15
11.12.2009 03:35;15
11.12.2009 03:40;15
11.12.2009 03:45;15
11.12.2009 03:50;15
11.12.2009 03:55;15
11.12.2009 04:00;15
11.12.2009 04:05;15
11.12.2009 04:10;15
11.12.2009 04:15;15
11.12.2009 04:20;15
11.12.2009 04:25;15
11.12.2009 04:30;15
11.12.2009 04:35;15
11.12.2009 04:40;15
11.12.2009 04:45;15
11.12.2009 04:50;15
11.12.2009 04:55;15
11.12.2009 05:00;15
11.12.2009 05:05;15
11.12.2009 05:10;15
11.12.2009 05:15;15
11.12.2009 05:20;15
11.12.2009 05:25;15
11.12.2009 05:30;15
11.12.2009 05:35;15
11.12.2009 05:40;15
11.12.2009 05:45;15
11.12.2009 05:50;15
11.12.2009 05:55;15
11.12.2009 06:00;15
11.12.2009 06:05;15
11.12.2009 06:10;15
11.12.2009 06:15;15
11.12.2009 06:20;15
11.12.2009 06:25;15
11.12.2009 06:30;15
11.12.2009 06:35;15
11.12.2009 06:40;15
11.12.2009 06:45;15
11.12.2009 06:50;15
11.12.2009 06:55;15
11.12.2009 07:00;20
11.12.2009 07:05;20
11.12.2009 07:10;20
11.12.2009 07:15;20
11.12.2009 07:20;20
11.12.2009 07:25;20
11.12.2009 07:30;20
11.12.2009 07:35;20
11.12.2009 07:40;20
11.12.2009 07:45;20
11.12.2009 07:50;20
11.12.2009 07:55;20
11.12.2009 08:00;20
11.12.2009 08:05;20
11.12.2009 08:10;20
11.12.2009 08:15;20
11.12.2009 08:20;20
11.12.2009 08:25;20
11.12.2009 08:30;20
11.12.2009 08:35;20
11.12.2009 08:40;20
11.12.2009 08:45;20
11.12.2009 08:50;20
11.12.2009 08:55;20
11.12.2009 09:00;20
11.12.2009 09:05;20
11.12.2009 09:10;20
11.12.2009 09:15;20
11.12.2009 09:20;20
11.12.2009 09:25;20
11.12.2009 09:30;20
11.12.2009 09:35;20
11.12.2009 09:40;20
11.12.2009 09:45;20
11.12.2009 09:50;20
11.12.2009 09:55;20
11.12.2009 10:00;20
11.12.2009 10:05;20
11.12.2009 10:10;20
11.12.2009 10:15;20
11.12.2009 10:20;20
11.12.2009 10:25;20
11.12.2009 10:30;20
11.12.2009 10:35;20
11.12.2009 10:40;20
11.12.2009 10:45;20
11.12.2009 10:50;20
11.12.2009 10:55;20
11.12.2009 11:00;20
11.12.2009 11:05;20
11.12.2009 11:10;20
11.12.2009 11:15;20
11.12.2009 11:20;20
11.12.2009 11:25;20
11.12.2009 11:30;20
11.12.2009 11:35;20
11.12.2009 11:40;20
11.12.2009 11:45;20
11.12.2009 11:50;20
11.12.2009 11:55;20
11.12.2009 12:00;20
11.12.2009 12:05;20
11.12.2009 12:10;20
11.12.2009 12:15;20
11.12.2009 12:20;20
11.12.2009 12:25;20
11.12.2009 12:30;20
11.12.2009 12:35;20
