T0;Tr;Tpco;Tpm;Tzco;Tzco_ref;Tzm;Fcob_i;rtb_Fcob;TrSP;Um;Ub1;Ub2
0;0;0;57.016373;45.578123;55;85;0;0;0;1;0;0
0;0;0;69.918192;67.533056;55;85;0;0;0;0.169664;0;0
3.2;0.962406;21.962414;61.677549;50.659129;49.4;77;0.011111;0.011111;15;1;1;1
3.15;2.61278;32.136092;61.293373;52.960725;49.4875;77.125;0.011111;0.011111;15;0.717584;1;1
3.15;4.489268;37.912289;59.702872;53.768789;49.4875;77.125;0.011111;0.011111;15;0.436018;1;1
3.15;6.367796;40.927429;57.698041;53.327269;49.4875;77.125;0.011111;0.011111;15;0.273687;1;1
3.15;8.125905;42.264572;55.860197;52.395521;49.4875;77.125;0.011111;0.011111;15;0.197442;1;1
3.15;9.708138;42.698182;54.491513;51.479512;49.4875;77.125;0.011111;0.011111;15;0.167211;1;1
3.15;11.101724;42.7346;53.586751;50.775125;49.4875;77.125;0.011111;0.011111;15;0.156634;1;1
3.15;12.317081;42.652079;53.021699;50.293617;49.4875;77.125;0.011111;0.011111;15;0.153273;1;1
3.15;13.374151;42.5751;52.675089;49.985958;49.4875;77.125;0.011111;0.011111;15;0.152023;1;1
3.15;14.294657;42.544028;52.459895;49.798136;49.4875;77.125;0.011111;0.011111;15;0.150973;1;1
3.15;15.098584;42.560834;52.320697;49.68722;49.4875;77.125;0.011111;0.011111;15;0.149551;1;1
3.15;15.803036;42.613817;52.224472;49.62316;49.4875;77.125;0.011111;0.011111;15;0.147719;1;1
3.15;16.422202;42.68913;52.152479;49.586422;49.4875;77.125;0.011111;0.011111;15;0.145611;1;1
3.05;16.961774;42.82353;52.33478;49.743604;49.6625;77.375;0.011111;0.011111;15;0.146424;1;1
3.15;17.447422;42.914746;52.026691;49.561443;49.4875;77.125;0.011111;0.011111;15;0.139662;1;1
3.15;17.875423;42.975276;51.990764;49.542434;49.4875;77.125;0.011111;0.011111;15;0.138467;1;1
3.05;18.247005;43.09056;52.195536;49.712663;49.6625;77.375;0.011111;0.011111;15;0.139812;1;1
3.05;18.578726;43.20804;52.145061;49.716422;49.6625;77.375;0.011111;0.011111;15;0.13672;1;1
3.05;18.874263;43.296565;52.104848;49.711714;49.6625;77.375;0.011111;0.011111;15;0.134604;1;1
3.15;19.142858;43.317981;51.829469;49.526564;49.4875;77.125;0.011111;0.011111;15;0.129916;1;1
3.05;19.371792;43.372896;52.059254;49.690293;49.6625;77.375;0.011111;0.011111;15;0.132971;1;1
3.05;19.576002;43.446669;52.026535;49.694599;49.6625;77.375;0.011111;0.011111;15;0.130939;1;1
3.05;19.758002;43.50206;52.002048;49.692114;49.6625;77.375;0.011111;0.011111;15;0.129639;1;1
3.05;19.919764;43.545602;51.980836;49.688625;49.6625;77.375;0.011111;0.011111;15;0.128593;1;1
3.05;20.063074;43.544618;51.95035;49.737671;49.6625;77.375;0.010221;0.010221;15;0.122161;0.919909;0.919909
3.05;20.175868;43.046485;51.690375;49.957632;49.6625;77.375;0.00725;0.00725;15;0.09031;0.65247;0.65247
3.05;20.229579;41.956105;51.306871;50.090268;49.6625;77.375;0.004296;0.004296;15;0.058894;0.386663;0.386663
3.05;20.196248;40.170923;50.788662;50.243654;49.6625;77.375;0.001433;0.001433;15;0.01856;0.128929;0.128929
3.05;20.042311;37.590981;50.415356;50.409693;49.6625;77.375;0;0;15;0;0;0
3.05;19.763752;35.156179;50.41253;50.412518;49.6625;77.375;0;0;15;0;0;0
3.05;19.3923;33.011387;50.412524;50.412524;49.6625;77.375;0;0;15;0;0;0
3.05;18.954454;31.105827;50.412524;50.412524;49.6625;77.375;0;0;15;0;0;0
3.05;18.470819;29.398929;50.412524;50.412524;49.6625;77.375;0;0;15;0;0;0
3.05;17.95736;27.858206;50.412524;50.412524;49.6625;77.375;0;0;15;0;0;0
3.05;17.426398;26.457576;50.412524;50.412524;49.6625;77.375;0;0;15;0;0;0
3;16.883868;25.17578;50.412524;50.412524;49.75;77.5;0;0;15;0;0;0
3;16.340896;23.995677;50.412524;50.412524;49.75;77.5;0;0;15;0;0;0
3;15.802842;22.903599;50.412524;50.412524;49.75;77.5;0;0;15;0;0;0
3;15.273695;21.888398;50.412524;50.412524;49.75;77.5;0;0;15;0;0;0
3;14.756373;20.94093;50.412524;50.412524;49.75;77.5;0;0;15;0;0;0
3;14.252962;20.053654;50.412524;50.412524;49.75;77.5;0;0;15;0;0;0
2.9;13.757872;19.219798;50.412524;50.412524;49.925;77.75;0;0;15;0;0;0
2.9;13.279898;18.43379;50.412524;50.412524;49.925;77.75;0;0;15;0;0;0
2.9;12.819439;17.69143;50.412524;50.412524;49.925;77.75;0;0;15;0;0;0
2.8;12.369602;16.988625;50.412524;50.412524;50.1;78;0;0;15;0;0;0
2.8;11.938175;16.321956;50.412524;50.412524;50.1;78;0;0;15;0;0;0
2.8;11.52479;15.688956;50.412524;50.412524;50.1;78;0;0;15;0;0;0
2.8;11.157849;16.700916;49.215154;48.238015;50.1;78;0.002197;0.002197;15;0;0.197749;0.197749
2.8;10.981933;20.405276;48.616316;44.668456;50.1;78;0.004587;0.004587;15;0.264618;0.412866;0.412866
2.8;11.073689;25.316752;51.677129;46.401788;50.1;78;0.006705;0.006705;15;0.321152;0.603468;0.603468
2.8;11.440518;30.395418;53.161719;47.831847;50.1;78;0.008389;0.008389;15;0.325991;0.754984;0.754984
2.8;12.025825;34.671272;53.856609;48.956876;50.1;78;0.009561;0.009561;15;0.297432;0.860526;0.860526
2.8;12.745403;37.826304;54.028008;49.739574;50.1;78;0.010219;0.010219;15;0.255319;0.919666;0.919666
2.75;13.516977;39.944699;54.014319;50.288352;50.1875;78.125;0.0104;0.0104;15;0.216235;0.936043;0.936043
2.75;14.284763;41.211885;53.72899;50.512393;50.1875;78.125;0.010157;0.010157;15;0.182332;0.914105;0.914105
2.75;15.007165;41.831389;53.401687;50.584904;50.1875;78.125;0.009548;0.009548;15;0.156593;0.859318;0.859318
2.75;15.658906;41.979324;53.078953;50.586491;50.1875;78.125;0.008635;0.008635;15;0.136356;0.777166;0.777166
2.75;16.225931;41.766712;52.772532;50.567459;50.1875;78.125;0.007477;0.007477;15;0.118771;0.672974;0.672974
2.75;16.700404;41.243682;52.473098;50.555343;50.1875;78.125;0.006133;0.006133;15;0.101351;0.551976;0.551976
2.75;17.076771;40.408883;52.160589;50.563531;50.1875;78.125;0.004661;0.004661;15;0.082035;0.419494;0.419494
2.75;17.348814;39.216908;51.808886;50.598185;50.1875;78.125;0.003125;0.003125;15;0.059018;0.281205;0.281205
2.75;17.507394;37.582525;51.387251;50.661636;50.1875;78.125;0.001594;0.001594;15;0.030671;0.14345;0.14345
2.75;17.538709;35.385934;50.874366;50.752886;50.1875;78.125;0.000151;0.000151;15;0;0.013607;0.013607
2.75;17.430882;32.92819;50.807035;50.806746;50.1875;78.125;0;0;15;0;0;0
2.75;17.207726;30.77965;50.806891;50.80689;50.1875;78.125;0;0;15;0;0;0
2.75;16.899826;28.889942;50.80689;50.80689;50.1875;78.125;0;0;15;0;0;0
2.75;16.531057;27.213509;50.80689;50.80689;50.1875;78.125;0;0;15;0;0;0
2.75;16.119992;25.713966;50.80689;50.80689;50.1875;78.125;0;0;15;0;0;0
2.65;15.674011;24.361684;50.80689;50.80689;50.3625;78.375;0;0;15;0;0;0
2.65;15.212093;23.132963;50.80689;50.80689;50.3625;78.375;0;0;15;0;0;0
2.75;14.74966;22.009719;50.80689;50.80689;50.1875;78.125;0;0;15;0;0;0
2.65;14.278226;20.976755;50.80689;50.80689;50.3625;78.375;0;0;15;0;0;0
2.65;13.810625;20.021335;50.80689;50.80689;50.3625;78.375;0;0;15;0;0;0
2.65;13.350458;19.14527;50.804789;50.785483;50.3625;78.375;0.000142;0.000142;15;0;0.012814;0.012814
2.65;12.929218;19.645097;49.745378;49.043019;50.3625;78.375;0.001648;0.001648;15;0;0.148307;0.148307
2.65;12.642691;21.871688;50.373032;47.378801;50.3625;78.375;0.003204;0.003204;15;0.194144;0.288373;0.288373
2.75;12.558404;25.193714;51.884341;48.074654;50.1875;78.125;0.004641;0.004641;15;0.230568;0.417645;0.417645
2.75;12.685231;28.877135;52.902459;48.785999;50.1875;78.125;0.00583;0.00583;15;0.246951;0.524713;0.524713
2.75;12.996608;32.26197;53.434769;49.401552;50.1875;78.125;0.006691;0.006691;15;0.239619;0.602194;0.602194
2.65;13.434627;35.031465;53.846045;50.067029;50.3625;78.375;0.007201;0.007201;15;0.220376;0.648052;0.648052
2.75;13.958237;37.026307;53.537611;50.213166;50.1875;78.125;0.007345;0.007345;15;0.190838;0.66107;0.66107
