T;Tw
11.12.2009 00:00;3,2
11.12.2009 00:05;3,15
11.12.2009 00:10;3,15
11.12.2009 00:15;3,15
11.12.2009 00:20;3,15
11.12.2009 00:25;3,15
11.12.2009 00:30;3,15
11.12.2009 00:35;3,15
11.12.2009 00:40;3,15
11.12.2009 00:45;3,15
11.12.2009 00:50;3,15
11.12.2009 00:55;3,15
11.12.2009 01:00;3,15
11.12.2009 01:05;3,05
11.12.2009 01:10;3,15
11.12.2009 01:15;3,15
11.12.2009 01:20;3,05
11.12.2009 01:25;3,05
11.12.2009 01:30;3,05
11.12.2009 01:35;3,15
11.12.2009 01:40;3,05
11.12.2009 01:45;3,05
11.12.2009 01:50;3,05
11.12.2009 01:55;3,05
11.12.2009 02:00;3,05
11.12.2009 02:05;3,05
11.12.2009 02:10;3,05
11.12.2009 02:15;3,05
11.12.2009 02:20;3,05
11.12.2009 02:25;3,05
11.12.2009 02:30;3,05
11.12.2009 02:35;3,05
11.12.2009 02:40;3,05
11.12.2009 02:45;3,05
11.12.2009 02:50;3,05
11.12.2009 02:55;3
11.12.2009 03:00;3
11.12.2009 03:05;3
11.12.2009 03:10;3
11.12.2009 03:15;3
11.12.2009 03:20;3
11.12.2009 03:25;2,9
11.12.2009 03:30;2,9
11.12.2009 03:35;2,9
11.12.2009 03:40;2,8
11.12.2009 03:45;2,8
11.12.2009 03:50;2,8
11.12.2009 03:55;2,8
11.12.2009 04:00;2,8
11.12.2009 04:05;2,8
11.12.2009 04:10;2,8
11.12.2009 04:15;2,8
11.12.2009 04:20;2,8
11.12.2009 04:25;2,75
11.12.2009 04:30;2,75
11.12.2009 04:35;2,75
11.12.2009 04:40;2,75
11.12.2009 04:45;2,75
11.12.2009 04:50;2,75
11.12.2009 04:55;2,75
11.12.2009 05:00;2,75
11.12.2009 05:05;2,75
11.12.2009 05:10;2,75
11.12.2009 05:15;2,75
11.12.2009 05:20;2,75
11.12.2009 05:25;2,75
11.12.2009 05:30;2,75
11.12.2009 05:35;2,75
11.12.2009 05:40;2,65
11.12.2009 05:45;2,65
11.12.2009 05:50;2,75
11.12.2009 05:55;2,65
11.12.2009 06:00;2,65
11.12.2009 06:05;2,65
11.12.2009 06:10;2,65
11.12.2009 06:15;2,65
11.12.2009 06:20;2,75
11.12.2009 06:25;2,75
11.12.2009 06:30;2,75
11.12.2009 06:35;2,65
11.12.2009 06:40;2,75
11.12.2009 06:45;2,75
11.12.2009 06:50;2,65
11.12.2009 06:55;2,65
11.12.2009 07:00;2,65
11.12.2009 07:05;2,65
11.12.2009 07:10;2,65
11.12.2009 07:15;2,65
11.12.2009 07:20;2,65
11.12.2009 07:25;2,65
11.12.2009 07:30;2,6
11.12.2009 07:35;2,6
11.12.2009 07:40;2,6
11.12.2009 07:45;2,6
11.12.2009 07:50;2,5
11.12.2009 07:55;2,6
11.12.2009 08:00;2,6
11.12.2009 08:05;2,6
11.12.2009 08:10;2,5
11.12.2009 08:15;2,5
11.12.2009 08:20;2,5
11.12.2009 08:25;2,5
11.12.2009 08:30;2,5
11.12.2009 08:35;2,5
11.12.2009 08:40;2,5
11.12.2009 08:45;2,5
11.12.2009 08:50;2,5
11.12.2009 08:55;2,5
11.12.2009 09:00;2,5
11.12.2009 09:05;2,5
11.12.2009 09:10;2,5
11.12.2009 09:15;2,5
11.12.2009 09:20;2,5
11.12.2009 09:25;2,5
11.12.2009 09:30;2,5
11.12.2009 09:35;2,5
11.12.2009 09:40;2,6
11.12.2009 09:45;2,6
11.12.2009 09:50;2,6
11.12.2009 09:55;2,6
11.12.2009 10:00;2,6
11.12.2009 10:05;2,6
11.12.2009 10:10;2,6
11.12.2009 10:15;2,6
11.12.2009 10:20;2,65
11.12.2009 10:25;2,65
11.12.2009 10:30;2,65
11.12.2009 10:35;2,65
11.12.2009 10:40;2,65
11.12.2009 10:45;2,65
11.12.2009 10:50;2,65
11.12.2009 10:55;2,65
11.12.2009 11:00;2,65
11.12.2009 11:05;2,65
11.12.2009 11:10;2,65
11.12.2009 11:15;2,75
11.12.2009 11:20;2,65
11.12.2009 11:25;2,75
11.12.2009 11:30;2,75
11.12.2009 11:35;2,75
11.12.2009 11:40;2,75
11.12.2009 11:45;2,75
11.12.2009 11:50;2,8
11.12.2009 11:55;2,8
11.12.2009 12:00;2,8
11.12.2009 12:05;2,8
11.12.2009 12:10;2,9
11.12.2009 12:15;2,8
11.12.2009 12:20;2,9
11.12.2009 12:25;2,9
11.12.2009 12:30;2,9
11.12.2009 12:35;3
11.12.2009 12:40;3
11.12.2009 12:45;3
11.12.2009 12:50;3
11.12.2009 12:55;3
11.12.2009 13:00;3
11.12.2009 13:05;3,05
11.12.2009 13:10;3,05
11.12.2009 13:15;3,05
11.12.2009 13:20;3,05
11.12.2009 13:25;3,05
11.12.2009 13:30;3,05
11.12.2009 13:35;3,05
11.12.2009 13:40;3
11.12.2009 13:45;3,05
11.12.2009 13:50;3
11.12.2009 13:55;3
11.12.2009 14:00;3
11.12.2009 14:05;3
11.12.2009 14:10;3
11.12.2009 14:15;3
11.12.2009 14:20;3
11.12.2009 14:25;3,05
11.12.2009 14:30;3
11.12.2009 14:35;3,05
11.12.2009 14:40;3,05
11.12.2009 14:45;3,05
11.12.2009 14:50;3
11.12.2009 14:55;3
11.12.2009 15:00;3
11.12.2009 15:05;3
11.12.2009 15:10;3
11.12.2009 15:15;3
11.12.2009 15:20;3
11.12.2009 15:25;3
11.12.2009 15:30;3
11.12.2009 15:35;3
11.12.2009 15:40;3
11.12.2009 15:45;3
11.12.2009 15:50;2,9
11.12.2009 15:55;3
11.12.2009 16:00;2,9
11.12.2009 16:05;2,9
11.12.2009 16:10;2,8
11.12.2009 16:15;2,8
11.12.2009 16:20;2,8
11.12.2009 16:25;2,8
11.12.2009 16:30;2,75
11.12.2009 16:35;2,75
11.12.2009 16:40;2,65
