           T               Tw
        2009-12-11 00:00     3,2
        2009-12-11 00:05    3,15
        2009-12-11 00:10    3,15
        2009-12-11 00:15    3,15
        2009-12-11 00:20    3,15
        2009-12-11 00:25    3,15
        2009-12-11 00:30    3,15
        2009-12-11 00:35    3,15
        2009-12-11 00:40    3,15
        2009-12-11 00:45    3,15
        2009-12-11 00:50    3,15
        2009-12-11 00:55    3,15
        2009-12-11 01:00    3,15
        2009-12-11 01:05    3,05
        2009-12-11 01:10    3,15
        2009-12-11 01:15    3,15
        2009-12-11 01:20    3,05
        2009-12-11 01:25    3,05
        2009-12-11 01:30    3,05
        2009-12-11 01:35    3,15
        2009-12-11 01:40    3,05
        2009-12-11 01:45    3,05
        2009-12-11 01:50    3,05
        2009-12-11 01:55    3,05
        2009-12-11 02:00    3,05
        2009-12-11 02:05    3,05
        2009-12-11 02:10    3,05
        2009-12-11 02:15    3,05
        2009-12-11 02:20    3,05
        2009-12-11 02:25    3,05
        2009-12-11 02:30    3,05
        2009-12-11 02:35    3,05
        2009-12-11 02:40    3,05
        2009-12-11 02:45    3,05
        2009-12-11 02:50    3,05
        2009-12-11 02:55       3
        2009-12-11 03:00       3
        2009-12-11 03:05       3
        2009-12-11 03:10       3
        2009-12-11 03:15       3
        2009-12-11 03:20       3
        2009-12-11 03:25     2,9
        2009-12-11 03:30     2,9
        2009-12-11 03:35     2,9
        2009-12-11 03:40     2,8
        2009-12-11 03:45     2,8
        2009-12-11 03:50     2,8
        2009-12-11 03:55     2,8
        2009-12-11 04:00     2,8
        2009-12-11 04:05     2,8
        2009-12-11 04:10     2,8
        2009-12-11 04:15     2,8
        2009-12-11 04:20     2,8
        2009-12-11 04:25    2,75
        2009-12-11 04:30    2,75
        2009-12-11 04:35    2,75
        2009-12-11 04:40    2,75
        2009-12-11 04:45    2,75
        2009-12-11 04:50    2,75
        2009-12-11 04:55    2,75
        2009-12-11 05:00    2,75
        2009-12-11 05:05    2,75
        2009-12-11 05:10    2,75
        2009-12-11 05:15    2,75
        2009-12-11 05:20    2,75
        2009-12-11 05:25    2,75
        2009-12-11 05:30    2,75
        2009-12-11 05:35    2,75
        2009-12-11 05:40    2,65
        2009-12-11 05:45    2,65
        2009-12-11 05:50    2,75
        2009-12-11 05:55    2,65
        2009-12-11 06:00    2,65
        2009-12-11 06:05    2,65
        2009-12-11 06:10    2,65
        2009-12-11 06:15    2,65
        2009-12-11 06:20    2,75
        2009-12-11 06:25    2,75
        2009-12-11 06:30    2,75
        2009-12-11 06:35    2,65
        2009-12-11 06:40    2,75
        2009-12-11 06:45    2,75
        2009-12-11 06:50    2,65
        2009-12-11 06:55    2,65
        2009-12-11 07:00    2,65
        2009-12-11 07:05    2,65
        2009-12-11 07:10    2,65
        2009-12-11 07:15    2,65
        2009-12-11 07:20    2,65
        2009-12-11 07:25    2,65
        2009-12-11 07:30     2,6
