T0;Tr1;Tpco;Tpm;Tzco;Tzco_ref;Tzm;Fcob_i;rtb_Fcob;TrSP1;Um;Ub1;Ub2;Tr2;TrSP2;;Uchyb;B³¹d wzglêdny uchybu
0;0;0;57.016373;45.578123;55;85;0;0;0;1;0;0;0;0;;0;#DZIEL/0!
0;0;0;69.918192;67.533056;55;85;0;0;0;0.169664;0;0;0;0;;0;#DZIEL/0!
03.lut;0.962406;21.962414;61.677549;50.659129;49.4;77;0.011111;0.011111;15;1;1;1;0.962406;15;;14.037594;93.58%
mar.15;2.61278;32.136092;61.293373;52.960725;49.4875;77.125;0.011111;0.011111;15;0.717584;1;1;2.61278;15;;12.38722;82.58%
mar.15;4.489268;37.912289;59.702872;53.768789;49.4875;77.125;0.011111;0.011111;15;0.436018;1;1;4.489268;15;;10.510732;70.07%
mar.15;6.367796;40.927429;57.698041;53.327269;49.4875;77.125;0.011111;0.011111;15;0.273687;1;1;6.367796;15;;8.632204;57.55%
mar.15;8.125905;42.264572;55.860197;52.395521;49.4875;77.125;0.011111;0.011111;15;0.197442;1;1;8.125905;15;;6.874095;45.83%
mar.15;9.708138;42.698182;54.491513;51.479512;49.4875;77.125;0.011111;0.011111;15;0.167211;1;1;9.708138;15;;5.291862;35.28%
mar.15;11.101724;42.7346;53.586751;50.775125;49.4875;77.125;0.011111;0.011111;15;0.156634;1;1;11.101724;15;;3.898276;25.99%
mar.15;12.317081;42.652079;53.021699;50.293617;49.4875;77.125;0.011111;0.011111;15;0.153273;1;1;12.317081;15;;2.682919;17.89%
mar.15;13.374151;42.5751;52.675089;49.985958;49.4875;77.125;0.011111;0.011111;15;0.152023;1;1;13.374151;15;;1.625849;10.84%
mar.15;14.294657;42.544028;52.459895;49.798136;49.4875;77.125;0.011111;0.011111;15;0.150973;1;1;14.294657;15;;0.705343;4.7%
mar.15;15.098584;42.560834;52.320697;49.68722;49.4875;77.125;0.011111;0.011111;15;0.149551;1;1;15.098584;15;;0.098584;0.66%
mar.15;15.803036;42.613817;52.224472;49.62316;49.4875;77.125;0.011111;0.011111;15;0.147719;1;1;15.803036;15;;0.803036;5.35%
mar.15;16.422202;42.68913;52.152479;49.586422;49.4875;77.125;0.011111;0.011111;15;0.145611;1;1;16.422202;15;;1.422202;9.48%
03.maj;16.961774;42.82353;52.33478;49.743604;49.6625;77.375;0.011111;0.011111;15;0.146424;1;1;16.961774;15;;1.961774;13.08%
mar.15;17.447422;42.914746;52.026691;49.561443;49.4875;77.125;0.011111;0.011111;15;0.139662;1;1;17.447422;15;;2.447422;16.32%
mar.15;17.875423;42.975276;51.990764;49.542434;49.4875;77.125;0.011111;0.011111;15;0.138467;1;1;17.875423;15;;2.875423;19.17%
03.maj;18.247005;43.09056;52.195536;49.712663;49.6625;77.375;0.011111;0.011111;15;0.139812;1;1;18.247005;15;;3.247005;21.65%
03.maj;18.578726;43.20804;52.145061;49.716422;49.6625;77.375;0.011111;0.011111;15;0.13672;1;1;18.578726;15;;3.578726;23.86%
03.maj;18.874263;43.296565;52.104848;49.711714;49.6625;77.375;0.011111;0.011111;15;0.134604;1;1;18.874263;15;;3.874263;25.83%
mar.15;19.142858;43.317981;51.829469;49.526564;49.4875;77.125;0.011111;0.011111;15;0.129916;1;1;19.142858;15;;4.142858;27.62%
03.maj;19.371792;43.372896;52.059254;49.690293;49.6625;77.375;0.011111;0.011111;15;0.132971;1;1;19.371792;15;;4.371792;29.15%
03.maj;19.576002;43.446669;52.026535;49.694599;49.6625;77.375;0.011111;0.011111;15;0.130939;1;1;19.576002;15;;4.576002;30.51%
03.maj;19.758002;43.50206;52.002048;49.692114;49.6625;77.375;0.011111;0.011111;15;0.129639;1;1;19.758002;15;;4.758002;31.72%
03.maj;19.919764;43.545602;51.980836;49.688625;49.6625;77.375;0.011111;0.011111;15;0.128593;1;1;19.919764;15;;4.919764;32.8%
03.maj;20.063074;43.544618;51.95035;49.737671;49.6625;77.375;0.010221;0.010221;15;0.122161;0.919909;0.919909;20.063074;15;;5.063074;33.75%
03.maj;20.175868;43.046485;51.690375;49.957632;49.6625;77.375;0.00725;0.00725;15;0.09031;0.65247;0.65247;20.175868;15;;5.175868;34.51%
