T0;Tr;Tpco;Tpm;Tzco;Tzm;Fcob_i;rtb_Fcob;TrSP;Um;Ub1;Ub2
0.000000;0.000000;0.000000;27.891000;17.965400;85.000000;0.000000;0.000000;0.000000;0.521654;0.000000;0.000000
0.000000;0.000000;0.000000;55.565094;47.545764;85.000000;0.000000;0.000000;0.000000;0.709424;0.000000;0.000000
3.200000;0.280956;2.706114;63.555900;58.801743;77.000000;0.001815;0.001815;15.000000;0.641846;0.163385;0.163385
3.150000;0.792326;9.213866;64.553835;59.389085;77.125000;0.003419;0.003419;15.000000;0.540804;0.307753;0.307753
3.150000;1.657078;17.142224;62.334573;56.719847;77.125000;0.004943;0.004943;15.000000;0.457011;0.444913;0.444913
3.150000;2.845914;24.421937;59.725824;54.092266;77.125000;0.006349;0.006349;15.000000;0.401087;0.571418;0.571418
3.150000;4.251103;30.183277;57.878673;52.509992;77.125000;0.007607;0.007607;15.000000;0.365373;0.684645;0.684645
3.150000;5.757892;34.444658;56.900729;51.888589;77.125000;0.008701;0.008701;15.000000;0.339458;0.783132;0.783132
3.150000;7.278642;37.549105;56.481531;51.830675;77.125000;0.009627;0.009627;15.000000;0.316070;0.866414;0.866414
3.150000;8.756547;39.826311;56.293204;51.988921;77.125000;0.010386;0.010386;15.000000;0.291754;0.934712;0.934712
3.150000;10.157512;41.500464;56.123611;52.151888;77.125000;0.010985;0.010985;15.000000;0.265715;0.988674;0.988674
3.150000;11.460930;42.664317;55.896075;52.274884;77.125000;0.011111;0.011111;15.000000;0.238344;1.000000;1.000000
3.150000;12.651781;43.396202;55.586873;52.291652;77.125000;0.011111;0.011111;15.000000;0.210230;1.000000;1.000000
3.150000;13.724435;43.831693;55.113435;52.111872;77.125000;0.011111;0.011111;15.000000;0.183118;1.000000;1.000000
3.150000;14.679108;44.032158;54.489431;51.750123;77.125000;0.011111;0.011111;15.000000;0.158923;1.000000;1.000000
3.050000;15.511917;44.049435;53.835212;51.292126;77.375000;0.011111;0.011111;15.000000;0.140912;1.000000;1.000000
3.150000;16.243470;43.929131;53.092150;50.737158;77.125000;0.011111;0.011111;15.000000;0.125973;1.000000;1.000000
3.150000;16.872757;43.707974;52.399897;50.167347;77.125000;0.011111;0.011111;15.000000;0.116913;1.000000;1.000000
3.050000;17.401627;43.445030;51.882310;49.687820;77.375000;0.011111;0.011111;15.000000;0.115006;1.000000;1.000000
3.050000;17.849254;43.200262;51.533918;49.334924;77.375000;0.011111;0.011111;15.000000;0.116975;1.000000;1.000000
3.050000;18.227664;42.987118;51.384334;49.161854;77.375000;0.010822;0.010822;15.000000;0.121457;0.973972;0.973972
3.150000;18.554029;42.802699;51.367895;49.135539;77.125000;0.010441;0.010441;15.000000;0.124785;0.939695;0.939695
3.050000;18.823127;42.667297;51.533568;49.256131;77.375000;0.010028;0.010028;15.000000;0.129604;0.902507;0.902507
3.050000;19.052218;42.584177;51.763868;49.468611;77.375000;0.009587;0.009587;15.000000;0.132439;0.862874;0.862874
